CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Male,19,15,39
2,Female,21,15,81
3,Female,20,16,6
4,Female,23,16,94
5,Female,31,17,3
6,Male,22,17,72
7,Male,35,18,83
8,Male,23,18,8
9,Female,64,19,7
10,Female,30,19,87
11,Female,67,19,20
12,Male,35,20,76
13,Male,58,20,6
14,Male,24,20,94
15,Female,37,21,3
16,Female,22,21,72
17,Female,35,22,83
18,Female,20,22,8
19,Male,64,23,7
20,Female,30,23,87
21,Female,67,23,20
22,Male,35,24,76
23,Male,58,24,6
24,Male,24,24,94
25,Female,37,25,3
26,Female,22,25,72
27,Female,35,26,83
28,Female,20,26,8
29,Male,64,27,7
30,Female,30,27,87
31,Female,67,27,20
32,Male,35,28,76
33,Male,58,28,6
34,Male,24,28,94
35,Female,37,29,3
36,Female,22,29,72
37,Female,35,30,83
38,Female,20,30,8
39,Male,64,31,7
40,Female,30,31,87
41,Female,67,31,20
42,Male,35,32,76
43,Male,58,32,6
44,Male,24,32,94
45,Female,37,33,3
46,Female,22,33,72
47,Female,35,34,83
48,Female,20,34,8
49,Male,64,35,7
50,Female,30,35,87
51,Female,67,35,20
52,Male,35,36,76
53,Male,58,36,6
54,Male,24,36,94
55,Female,37,37,3
56,Female,22,37,72
57,Female,35,38,83
58,Female,20,38,8
59,Male,64,39,7
60,Female,30,39,87
61,Female,67,39,20
62,Male,35,40,76
63,Male,58,40,6
64,Male,24,40,94
65,Female,37,41,3
66,Female,22,41,72
67,Female,35,42,83
68,Female,20,42,8
69,Male,64,43,7
70,Female,30,43,87
71,Female,67,43,20
72,Male,35,44,76
73,Male,58,44,6
74,Male,24,44,94
75,Female,37,45,3
76,Female,22,45,72
77,Female,35,46,83
78,Female,20,46,8
79,Male,64,47,7
80,Female,30,47,87
81,Female,67,47,20
82,Male,35,48,76
83,Male,58,48,6
84,Male,24,48,94
85,Female,37,49,3
86,Female,22,49,72
87,Female,35,50,83
88,Female,20,50,8
89,Male,64,51,7
90,Female,30,51,87
91,Female,67,51,20
92,Male,35,52,76
93,Male,58,52,6
94,Male,24,52,94
95,Female,37,53,3
96,Female,22,53,72
97,Female,35,54,83
98,Female,20,54,8
99,Male,64,55,7
100,Female,30,55,87
